PMI_021513	Pm-Insr
PMI_021514	Pm-Insr
PMI_021515	Pm-Insr
PMI_027552	Pm-Slc10a7
PMI_028517	Pm-Med13
PMI_025481	Pm-Kif21A
PMI_025482	Pm-Kif21A
PMI_019114	Pm-Chk2
PMI_019115	Pm-Chk2
PMI_025320	
PMI_021743	
PMI_021744	PMI_021744
PMI_026417	Pm-Glra1_1
PMI_026418	Pm-Glra1_1
PMI_018056	
PMI_028834	
PMI_027989	Pm-Sox6L
PMI_027437	PMI_027437
PMI_021841	Pm-Mcl1
PMI_021842	Pm-Mcl1
PMI_027026	Pm-Abcg12
PMI_025157	
PMI_029203	
PMI_027893	Pm-Polr3f
PMI_024913	Pm-Pbx
PMI_018353	Pm-Kiaa0368L
PMI_018354	Pm-Kiaa0368L
PMI_026492	Pm-Abat
PMI_022372	Pm-Osbpl6
PMI_022373	Pm-Osbpl3
PMI_026997	Pm-Ikbkap_1
PMI_027613	Pm-Srcr18
PMI_028439	Pm-B3galt8
PMI_021786	Pm-Rdh7
PMI_021787	Pm-Slc39a12
PMI_022008	
PMI_022009	
PMI_028303	Pm-Cecr1_1
PMI_026497	Pm-A2col
PMI_021305	Pm-Depdc1
PMI_021306	
PMI_025238	Pm-Rps9
PMI_025239	Pm-Gde1
PMI_025427	Pm-Hsp901
PMI_021625	Pm-Man2c1
PMI_023101	Pm-Hypp_1130
PMI_023102	
PMI_023103	
PMI_028748	Pm-Mlck
PMI_024979	
PMI_011763	Pm-Hirha
PMI_011764	
PMI_027077	Pm-Hypp_72
PMI_024745	
PMI_024746	Pm-Pofut1_1
PMI_024292	Pm-Tmem111
PMI_023727	Pm-Pex7
PMI_023260	Pm-Med12l
PMI_021567	Pm-U2af2
PMI_022086	Pm-Lrp4
PMI_024663	Pm-DtL_2
PMI_024664	
PMI_026219	Pm-Trpc3
PMI_027919	Pm-Wnt3
PMI_026571	
PMI_026572	Pm-Gpr50L_2
PMI_026573	Pm-Surreal/Gpcr93
PMI_022177	Pm-GtpbpL3(nucleolar
PMI_027076	Pm-Vtgn2
PMI_021655	Pm-Hnrpr
PMI_024720	Pm-Epb4.1l1
PMI_028736	Pm-Echn43
PMI_019948	Pm-Tm9sf1
PMI_021781	Pm-Hypp_2055
PMI_028915	Pm-Tp53bp2
PMI_029415	Pm-ElavL
PMI_018481	Pm-Eif3c
PMI_028167	PMI_028167
PMI_018284	Pm-Sqst1L
PMI_018285	Pm-Ttc29
PMI_026265	Pm-Pi3kp110
PMI_023957	
PMI_023958	Pm-Mmaa
PMI_019158	Pm-Hypp_1590
PMI_027538	
PMI_018493	Pm-Ift122Ap
PMI_024601	Pm-C6orf199L
PMI_026961	Pm-Axndhch
PMI_021870	Pm-2310067g05rikh
PMI_021871	Pm-Dnm2
PMI_024435	Pm-Slc4a2_1
PMI_026644	Pm-Lrp4_6
PMI_025433	Pm-Lipk
PMI_023767	Pm-Tmem181
PMI_018491	Pm-Msh2
PMI_027719	Pm-Oma1L
PMI_024768	Pm-Echn43
PMI_024769	Pm-Echn43
PMI_028529	Pm-Bcar3
PMI_029557	Pm-Sstr5L_2
PMI_029540	Pm-Lrr/Gpcr
PMI_023870	Pm-ManrC1A
PMI_022690	
PMI_022691	Pm-PppL_161
PMI_022692	Pm-PppL_161
PMI_022693	
PMI_024923	Pm-Tk2
PMI_024924	Pm-Tk2
PMI_028858	Pm-Dhx35
PMI_016583	Pm-Exosc9
PMI_016584	Pm-Exosc9
PMI_016585	PMI_016585
PMI_028153	Pm-Gpr54L_5
PMI_017714	
PMI_029356	
PMI_025297	Pm-Ipo9
PMI_022979	Pm-Egf/HyalinL5
PMI_024798	Pm-Graf
PMI_023000	Pm-Cnot3
PMI_016805	PMI_016805
PMI_016806	
PMI_021752	Pm-Jnk
PMI_024585	Pm-Frmd1
PMI_028499	Pm-Sepn1
PMI_027933	Pm-Calpn
PMI_026574	Pm-Axin
PMI_016827	Pm-Aco1
